item_id,with_context,without_context
2507.08771v1-with-image-refs,"The chart illustrates BlockFFN's advanced activation magnitudes across layers, demonstrating enhanced performance compared to other models. BlockFFN consistently shows higher activation magnitudes, particularly noticeable in the higher layers, indicating more effective parameter utilization. The model with RMSNorm adds a layer of regularization, leading to slightly lower activation magnitudes. ReMoE, with its L1 regularization, exhibits a gradual improvement, suggesting its role in balancing accuracy and efficiency. This highlights BlockFFN's superior ability to leverage sparse activation while maintaining computational efficiency.","The chart shows the average activation magnitude of three models across varying layer indices: BlockFFN, BlockFFN w/o RMSNorm, and ReMoE (L1 objectives). The BlockFFN w/o RMSNorm model consistently demonstrates the highest activation magnitude, which increases significantly as the layer index grows. BlockFFN and ReMoE show moderate growth with slight fluctuations relative to the w/o RMSNorm model. ReMoE shows a more steady increase, suggesting it might be more stable in activation magnitude across layers compared to the other two models. This highlights the w/o RMSNorm model's superior performance in maintaining high activation levels across increasing layers."
2507.08776v1-with-image-refs,"This chart demonstrates the evaluation of our method, CLiFT, against baselines on the RealEstate10K and DL3DV datasets. Our approach achieves comparable PSNR and SSIM with significantly lower storage and rendering data sizes compared to MVSplat and LVSM, showcasing its efficiency and effectiveness in preserving visual fidelity. The results indicate our method not only requires fewer tokens for storage but also more for rendering, highlighting the flexibility in controlling scene representation. Additionally, the ablation studies reveal the impact of different components like latent K-means and neural condensation, with our method outperforming without these enhancements.","The chart illustrates the performance of three different rendering and storage optimization techniques across various CLiFT storage/rendering configurations. The ""Ours"" method consistently achieves higher PSNR and SSIM values, closely matching the performance of ""Ours w/o Condenser"" and ""Ours w/o K-means"" models, with slight variations. The ""LVSM-ED"" method shows a significant decrease in rendering FPS and an increase in GFLORs. Overall, the ""Ours"" approach demonstrates superior efficiency and accuracy in terms of image quality and performance metrics."
2507.08784v1-with-image-refs,"The chart shows that as the model size increases from 60M to 350M parameters, the peak memory usage for GreedyLore with and without error feedback mechanisms grows significantly. Notably, the 1B-parameter model with a batch size of 64 experiences the highest peak memory, highlighting the need for large batch sizes for 1B-parameter models. Additionally, the memory overhead from storing the projection matrix remains minimal, as confirmed by the profiling results.","This bar chart compares the peak memory usage in gigabytes (GB) for different versions of the LLaMA model. The ""GreedyLore(w/o EF)"" and ""GreedyLore(w/ EF)"" versions show varying levels of memory usage across different model sizes. The ""AdamW"" version consistently has the highest peak memory usage for both ""LLaMA-60M"" and ""LLaMA-1B(bs=64)"" models. Notably, the ""LLaMA-1B(bs=64)"" model has significantly higher peak memory usage compared to the other models, indicating a larger memory requirement in this specific configuration."
"""Did_I_buy_that_just-with-image-refs","The chart illustrates the degree of deviation in the self-reported share of organic products among participants, highlighting a significant cluster in the 0 to 20 range with a frequency of 20. This suggests a higher reported interest in organic products compared to other reported shares. Understanding this deviation helps in assessing participants' awareness and priorities regarding organic consumption. The consistency of reported shares can provide insights into dietary habits, with a notable exception in categories like meat and sausage products, which show more overreporting. This data contributes to analyzing consumer behavior and preferences in organic products relative to other dietary categories.","This chart shows the frequency of different degrees of deviation in the share of organic products reported by individuals. The highest frequency, around -10, is followed by 0 and 10, with a significant drop in frequency as the degree of deviation increases beyond 30. The chart highlights a peak around the 0 degree of deviation, indicating a relatively common level of reporting."
1_UNDERSTANDING_AND_-with-image-refs,"This chart illustrates the significant impact of shifting energy consumption to off-peak hours on household bills. The ""Out of home family"" shows minimal cost changes, while the ""Stay at home family"" experiences a substantial increase in bill costs due to their higher peak-hour usage. By shifting habits, the ""Out of home family"" can reduce costs by RM 16.03, highlighting the financial burden on those with daily home usage. The stark difference underscores the need for active energy management to avoid potential increases in caregiving or professional demands.","The chart shows the estimated kWh usage for out-of-home family activities on weekdays, highlighting how usage varies under different conditions: Original and Shipped. On weekdays, peak usage during peak hours (around 18-20 hours) is more pronounced under Original conditions compared to Shipped ones. This suggests a stronger demand during these times when activities are shifted. In contrast, under Shipped conditions, usage generally decreases, but there is still significant variation, indicating potential inefficiencies or changes in activity patterns."
Algorithmic_Fairness-with-image-refs,"The chart illustrates how legal and operational adjustments in shift schedules impact fairness perceptions among healthcare workers. By balancing need and equality, these adjustments reduce perceived fairness but limit flexibility in adapting schedules to individual preferences. The emphasis on procedural fairness highlights the balance between operational constraints and the need for inclusivity, suggesting that while legal requirements may occasionally hinder fairness, they can also mitigate perceived unfairness through structured compliance. The chart emphasizes the importance of ensuring procedural rules are both accurate and inclusive, balancing flexibility with respect for individual preferences.","The chart illustrates how legal and operational requirements balance ethical, factual, and procedural needs, emphasizing fairness, transparency, and procedural rigor. It highlights the importance of addressing different aspects like accuracy, representativeness, and decision control to ensure compliance and maintain trust in processes."
Analyzing_Income_Ine-with-image-refs,"The chart illustrates significant income inequality across Italy's regions over two decades, with notable disparities in the south that exacerbate economic divides. Regional variations show declines in income disparities in some areas like Piemonte and Valle d'Aosta, indicating stabilized economic conditions. However, areas like Marche and Basilicata experienced substantial increases, potentially linked to social interventions and diversification. The widening inequalities in the north and south highlight structural issues like low employment prospects and limited industrialization. Policy interventions are suggested to address these disparities, aiming to promote equitable development and reduce income gaps.","The chart shows a comparison of data across different regions and time periods for Mezzogorio, Sud,孤立, and Italy. While most regions show a consistent trend with slight fluctuations, Italy experienced a notable increase in data from 2010 to 2020, suggesting growth or improvement in that area."
Artificial_Intellige-with-image-refs,"The chart illustrates how AI-driven Account-Based Marketing (ABM) processes data from CRM systems to identify high-value accounts and generate targeted ads, enhancing engagement through personalized interactions. This approach aims to optimize lead scoring and conversion rates by leveraging AI's predictive capabilities. However, successful implementation requires addressing challenges like data privacy and cost, ensuring AI tools can effectively serve individual customer segments.","This chart illustrates a process for enhancing ad engagement through AI. Starting with CRM data, it identifies high-value accounts, analyzes performance, and connects the sales team to refine ads. AI processes intent data from ABM tools, leading to improved engagement on specific ads platforms. This sequence highlights how technology and human connection work together to optimize marketing efforts."
Automated_Video_Anal-with-image-refs,"The chart reveals that 25 studies focusing on automated video analysis were selected, primarily from marketing-related journals. Most studies involved video data characteristics, technical analysis approaches, and extracted features, emphasizing the integration of video analysis in marketing research. Notably, 19 studies lacked sufficient methodological details, highlighting the importance of robust data analysis methods in the research.","This chart shows the process of identifying and screening studies from the Web of Science database. Out of 255 studies, 211 were excluded based on various criteria such as non-marketing contexts, lack of video analysis, and insufficient methodology. The remaining 44 manuscripts were screened further, with 25 studies included in the review process. The exclusion criteria and screening criteria highlight the focus on relevant and thorough analysis."
Confessions_of_a_Gre-with-image-refs,"This chart illustrates how intrinsic and extrinsic religiosity influences green purchase intentions. Intrinsic religiosity drives self-oriented consumer behavior (H3 and H8), while extrinsic religiosity leads to other-oriented consumer behavior (H4 and H5). Both pathways ultimately result in green purchase intentions (H1 and H7), indicating a complex interplay between religious influences and consumer behavior.","This diagram illustrates how intrinsic and extrinsic religiosity influences self-oriented consumer behavior and green purchase intentions. Intrinsic religiosity drives self-oriented consumer behavior, while extrinsic religiosity influences green purchase intention. Both factors interact through various hierarchical relationships, highlighting the complex interplay between personal religious identity and consumer actions."
Data-Driven_Innovati-with-image-refs,"The chart visually distinguishes between AI risks categorized under Maslow's hierarchy of needs, with physiological needs (like safety and security) linked to prohibited systems, while more general purposes (love and belonging) fall under limited risk, requiring less transparency. High-risk systems involve public infrastructure and services, while minimal-risk systems like chatbots and content creation operate within self-actualization. This classification helps developers understand which systems are more regulated under the AI Act, guiding risk management and compliance efforts.","The chart illustrates how different AI Act classifications relate to Maslow's needs. Physiological and self-esteem needs are linked to higher risk categories like ""Prohibited Risk"" and ""High Risk,"" reflecting concerns about manipulation and morality. In contrast, minimal risk categories like ""Self-actualization"" indicate systems with less stringent regulatory oversight. This highlights the spectrum of AI risk associated with varying human needs and needs for security, identity, and creativity."
Decentralized_Distru-with-image-refs,"Cryptocurrencies received significantly more negative sentiment across security & usability, payment options, and purchase & fees compared to credit cards. The sentiment scores for cryptocurrencies are consistently lower, indicating higher perceived risk and dissatisfaction across all categories. This highlights the challenge of integrating cryptocurrencies into traditional payment systems, with consumers concerned about security, usability, and associated fees.","The chart shows sentiment scores for two categories: credit cards and cryptocurrencies, across three topics. Credit cards generally have higher positive scores in ""Security & Usability"" and ""Payment Options,"" while cryptocurrency categories have significantly lower scores in ""Purchase & Fees."" This suggests a greater perceived security and ease of use for credit cards, with lower concerns about fees and purchase-related issues for cryptocurrencies."
Deucalion__A_dataset-with-image-refs,"The chart illustrates the classification of Deucalion’s flood classes, highlighting a significant increase in class 8 (people) compared to class 1 (flooded). This suggests heightened human-related flooding events in June 2025. The process involved multiple stages, including video image extraction, quality checks, and digitization, emphasizing a systematic approach to flood classification.","The chart illustrates a structured workflow for extracting and digitizing image features from video content. It begins with Kagggle datasets and other sources, followed by Instagram data. Quality checks ensure the data's integrity, which then leads to labeling with a ""Label Studio."" After labeling, image extraction from videos is processed, and finally, digitization and feature extraction yield the output, highlighting the systematic approach to data processing and classification."
Forbidden_Fruit_and_-with-image-refs,"The dual-stage model explains how migrants initially adopt addictive behaviors by experiencing perceived prohibition and developing symbolic desire, followed by latent cravings. In Stage 2, migration reduces constraints, leading to an opportunity shock and stress reinforcement. This triggers compulsive escalation of consumption, illustrating the model's focus on how migration impacts behavior dynamics.","The dual-stage model illustrates how individuals experience a forbidden fruit and rebound effects. In the initial stage, perceived inhibition and symbolic desire lead to latent craving, prompting a first use. In the rebound stage, constraints release, allowing opportunities for shock and interaction, followed by stress-reinforcement and compulsive escalation. This model highlights the dynamic interplay between avoidance and pursuit, emphasizing the need for effective management of these stages."
Moderating_Tamil_Con-with-image-refs,"The pie chart illustrates that 55% of survey participants cited the primary reason for content removals as ""To silence my opinion,"" while 12% stated they had violated community standards, 11% attributed it to political reasons, and 3% attributed it to being biased against them. This highlights a significant concern among users that platforms are often pressured to silence dissenting views to maintain compliance with government requests for content moderation.","The pie chart shows a significant majority of individuals (55%) expressing their views on silencing their opinion, highlighting a strong desire to protect their voices. While other reasons, such as political bias and violating community standards, contribute, the overwhelming focus on silence underscores the importance of safeguarding one's perspective."
Quiet_Quitting_-_Per-with-image-refs,"The chart illustrates the varying degrees of worker engagement across different segments, highlighting a significant global trend of disengagement. Workers in high-performing roles (High Performers) consistently exceed productivity and engagement levels, actively seeking success and recognition. In contrast, workers in the ""Accommodators"" and ""Wage Criminals"" categories consistently operate within lower limits of productivity and engagement, often violating established norms. This dynamic underscores the importance of understanding and addressing the ""safety zone"" in workplaces to foster a more engaged and productive workforce. The chart emphasizes how different worker profiles contribute to overall work environment challenges, from high engagement to disengagement, and suggests strategies to bridge this gap for improved organizational outcomes.","The chart shows that ""High Performers"" and ""Careerists"" have consistently high security and engagement levels, while ""Middle Workers"" and ""Accommodators"" have lower engagement. ""Wage Criminals"" show lower levels of security and engagement. ""Productivity"" varies between ""High Performers"" and ""Middle Workers,"" with some high performance and others lower. The ""Upper limit"" and ""Lower limit"" represent safety zones, suggesting that workers with higher security are more engaged and productive."
The_Limited_Role_of_-with-image-refs,"The chart illustrates that after payment, participants reported more correct predictions than expected for the AFTER version of the task in later rounds, suggesting cheating. This is particularly noticeable for the 5th and 6th blocks, with observed means exceeding the baseline expectations. The conservative estimate of 36.5% for the first play implies that a higher proportion of participants cheated, likely due to the challenge of the AFTER version. This pattern indicates that financial incentives may encourage more participants to cheat, as participants are more likely to report higher accuracy when presented with a more challenging task.","The chart illustrates the probability of high vs. low losses across different stages of a payment process, including baseline, after BDM, and after auctions. Initially, there is a consistent low probability of high losses, but after applying a BDM and subsequent auctions, the probability sharply increases, especially in the 3rd block. This indicates a significant impact of the payment process stages on reducing loss probabilities."
VISTA__Verifiable_In-with-image-refs,"The VISTA Agent Lifecycle and Request Flow diagram illustrates a structured process for handling user requests, ensuring identity verification, secure execution, policy compliance, and escalation to human oversight. The lifecycle ensures cryptographic traceability and ethical accountability throughout the agent's operation. The diagram highlights key checkpoints such as identity verification, secure execution, and policy compliance, emphasizing the importance of human oversight for policy deviations.","The chart illustrates the VISTA Agent lifecycle and request flow, highlighting key steps and decisions. It starts with a request from a user, which determines whether the agent is verified. If not, it moves to the legacy system update or a public ledger login. The agent's authorization and execution logic determine if it should proceed within a secure enclave or escalate to a human operator, depending on compliance. This flow underscores the importance of adherence to ethical policies and the layered governance framework to ensure secure and verified agent operations."
A_MODULAR_SOFTWARE_F-with-image-refs,"The chart illustrates that the AdvancedPolicy + AdvancedSelfModel configuration consistently demonstrates the most stable and adaptive behavior, with the highest average confidence, lower switching rates, and balanced fatigue levels. This configuration leverages internal state coherence and interpretable fatigue dynamics, showcasing its effectiveness in maintaining consistent performance across time. Additionally, the AdvancedSelfModel enhances confidence prediction accuracy and reduces mode prediction errors, highlighting its role in refining meta-cognitive feedback and exploration-exploitation balance.","The chart illustrates the evolution of an advanced self-model in a single-agent system, focusing on reward, agent fatigue, and confidence prediction. Over time, the reward remains consistently high at 1.0, indicating stable performance. The agent fatigue metric shows minimal variation, with a consistent 0.8 across all steps. Confidence prediction error is minimal, with very low error levels and no significant fluctuation, suggesting reliable internal model predictions. The model’s success is evident in the consistent performance across various metrics, with only minor fluctuations noted, highlighting a stable and effective self-model system."
Adversarial-Resistan-with-image-refs,"This dual-LLM system separates reasoning and validation components to prevent manipulation, ensuring robust content and safety. The first LLM generates RAG-enhanced responses while the second LLM detects and trims harmful prompts, safeguarding user interactions from potential adversarial exploitation.","The process involves a user requesting a user prompt with specific instructions to trim emojis and unnecessary expressions, which are then processed by two LLMs: the first a specialized CS-Coding Open-Source LLM like DeepSeek Coder, and the second a smart trimmer to detect and optimize responses. These responses are then ensured meet specific conditions before being sent to the user interface, ensuring a cleaner and more effective interaction."
Assessing_Data_Imbal-with-image-refs,"This chart illustrates how increasing the randomness of gaze transitions (measured by standardised Ht) raises the probability of collisions when spatial distribution of gaze is at average levels and pupil diameter is average. The significant interaction between Ht and Hs suggests that when gaze is constrained (higher Hs), additional randomness enhances collision probability.","The graph shows a positive correlation between the standardized \( H_t \) value and the % point increase in collision probability. As standardized \( H_t \) increases, the collision probability also increases, with a notable jump around \( H_t = 1.0 \). This suggests that higher standardized \( H_t \) values are associated with higher collision probabilities, indicating potential risks associated with greater \( H_t \) levels."
AutoML__A_Tertiary_S-with-image-refs,"The research process involved a systematic approach to AutoML research, starting with a broad search across 6 seed papers in Google Scholar. After initial paper selection and snowballing, 33 and 34 final papers were retained. Data extraction followed, leading to a synthesis report. This structured workflow ensured a comprehensive analysis of the literature, highlighting the importance of rigorous selection and data handling in this research methodology.","This flowchart outlines a structured process for selecting and analyzing paper selections related to Google Scholar. The initial search yields 100 seed papers, with 6 being used for snowballing. Over subsequent steps, the number of selected papers fluctuates, with the final selection amounting to 34. The process culminates in data synthesis and the creation of a report. Key insights include the dynamic nature of paper selection and the iterative steps involved in this research process."
Autonomous_identity--with-image-refs,"The visualization illustrates a trust-based access control model that enforces access restrictions based on observed metrics. It involves users, applications, and devices, with processes like verification and analysis leading to either ""Data, Assets, Applications and Services"" or restricted access. This model ensures secure data handling by evaluating access attempts and isolating users when thresholds are exceeded, highlighting the importance of monitoring and control in an environment governed by zero-trust principles.","Access requests are processed through PBAC, RBAC, and ABAC systems that verify every access attempt. Eligibility is determined by a check, and the resulting data, assets, and services are distributed to users and applications. This ensures secure and efficient access management."
Bias_and_Fairness_in-with-image-refs,"This visualization highlights the multifaceted characterization and ethical considerations of Med LLMs. The Med LLM Characterization framework emphasizes model transparency, deployment styles, and task specialization across open, closed, external, and in-house options. Ethical constraints such as patient privacy, regulatory compliance, and bias mitigation are critical, alongside infrastructure elements like interdisciplinary involvement and expert oversight. Responsible deployment requires balancing safety, fairness, and clinical accuracy, with a focus on addressing bias in impactful clinical decision-making environments.","The chart illustrates the multifaceted approach to characterizing and deploying medical large language models (LLMs). It highlights key dimensions such as model transparency, deployment styles, and ethical considerations, emphasizing the importance of balancing privacy, accountability, and fairness. Responsible deployment requires addressing both infrastructure constraints and external interventions, ensuring that models are used ethically and securely within healthcare contexts."
Bioenergy_with_carbo-with-image-refs,"The chart illustrates emission reduction progress across four scenarios (S1-S4), highlighting the increasing reliance on renewables and BECCS technologies. By 2100, S1 achieves the highest CO2 reduction with 572 Mt, while S4 shows the smallest. Most reductions come from renewables, with BECCS playing a minor role in S1 and S2 but increasing significantly in S3 and S4. Nuclear and fossil-based energy contribute minimally, underscoring the dominance of renewable and BECCS in achieving emission targets.","The chart shows the projected increase in CO2 emissions from renewable sources across four scenarios (S1, S2, S3, S4) from 2020 to 2100. Renewable sources are the most consistent and increasing, with lower emissions from fossil fuels and BECCS CDR in some years compared to others. The BECCS CDR scenario shows a significant decline, indicating its potential for reducing emissions over time."
Continuous_Real-Time-with-image-refs,"The chart shows a 2-way bar comparison of decoding performance between non-click and click subjects. The box plot on the right indicates high accuracy for click subjects, while the left shows lower accuracy for non-click subjects. This suggests that the model's performance for click detection is significantly better.","This bar chart compares the performance of two subjects in an experiment labeled ""MLP, Subject RK01"". The ""Click"" category shows a significantly higher performance of 0.8 compared to the ""Non-click"" category, which has a performance of 0.0. This indicates a strong correlation between the subject's activity (clicking) and their MLP performance."
Decoding_community_p-with-image-refs,"The chart shows that local news heavily features hyper-local entities like ""Neuchâtel,"" ""Valais,"" and ""La Chaux-de-Fonds,"" while national news includes broader entities like ""Donald Trump"" and ""Suisse,"" Genève. This highlights how local news emphasizes community identity and discourse, while national news reflects national-wide communication.","The chart shows the frequency of local news top locations with ""rechilie"" having the highest frequency at nearly 20,000, followed by ""valas"" and ""suisse"" at 15,000 and 10,000 respectively. Other locations like ""la chaussée"" and ""son"" have lower frequencies, indicating ""rechilie"" is the most popular local news source in the dataset."
Delivering_Tactile_S-with-image-refs,"The visual data reveals that the visual stimulus had a lag of 35.34 ms with a precision of 7.35 ms, while auditory stimuli had a lag of 38.72 ms with a precision of 4.49 ms. Tactile stimuli presented 84.20 ms after the visual onset, with a precision of 6.07 ms. The analysis shows that the visual stimulus's lag and precision are relatively consistent, while tactile stimuli had a longer lag that might be due to timing differences between the microphone and the vibration stimulus. The data highlights the importance of considering ramp-onset delays when designing experiments involving vibration stimuli, as these delays significantly impact asynchrony.","The chart shows a distribution of onset lag times and asynchronous delays in different conditions: light, sound, and vibration. Light and sound conditions exhibit higher density peaks, indicating more frequent onset lag times. Vibration conditions have a lower density, suggesting fewer occurrences of these delays. This implies that light and sound are more consistently impactful on onset lag, while vibration has a more variable effect."
Implementing_Reliabi-with-image-refs,"The chart illustrates the evolution of maintenance strategies over three generations, starting with simple repair on failure in 1940, transitioning to planned shutdowns and systems for scheduling and planning in 1960, and progressing to advanced conditions monitoring, reliability designs, and intelligent systems in the third generation by 2000. This progression reflects a shift towards more sophisticated, reliability-focused maintenance approaches, highlighting the need for significant technological and operational advancements.","The chart illustrates a chronological evolution of system failures and repair strategies over time, highlighting advancements in reliability and maintenance. Initially, failures and repairs were straightforward and frequent, reflecting simpler systems. As technology advanced, there was a shift towards more complex, scheduled shutdowns and the introduction of intelligent systems and smaller computers, indicating a greater focus on reliability and efficiency. This evolution underscores the importance of monitoring and collaboration in handling these challenges."
Incorporating_Partic-with-image-refs,"This chart outlines a structured process for collecting and analyzing qualitative data from interviews with DMR participants. The process began with inductive data gathering of outcomes and probing questions, followed by a deductive analysis to confirm outcomes and align them with framework concepts. The final codebook included 10 key outcomes and framework alignment results. This approach emphasizes understanding participant experiences and the alignment between outcomes and frameworks, providing insights into the DMR project's impact and methodologies.","This chart outlines a structured interview and analysis process for documenting outcomes and aligning with frameworks. The data collection phase includes open questions and framework introductions, leading to initial outcome accounts. Coding phases involve inductive and deductive methods, resulting in a preliminary codebook, organized code sets, and finally a final codebook and key outcomes. Inter-rater reliability is assessed, with scores from the initial set of outcomes. Discarded scores highlight areas for revision of source material. The analysis focuses on outcomes alignment and literature research."
Interpretability_req-with-image-refs,"The chart illustrates how input queries are broken down into component attribution methods to understand which features and model parts explain tasks A and B. Circuit queries lead to network representations, with methods that focus on input queries directly attributing to tasks A and B. This structure highlights a focus on separating inputs into task-specific components to improve interpretability, demonstrating how different methods address the same input query by targeting distinct aspects of the model.","The chart illustrates a process where circuit queries are processed through input queries and component attribution methods, with two tasks (Task A and Task B) being applied based on different methods. This suggests a structured approach to attribute methods, potentially optimizing performance or data interpretation based on task-specific requirements."
JusticeNetBD__A_Retr-with-image-refs,"This chart compares the performance of four state-of-the-art large language models on legal tasks, showing that JusticeNetBD and Gemini 2.5 Flash have the highest ROUGE-L and BERTScore scores of 0.896 and 0.850, respectively, demonstrating their effectiveness in providing accurate legal advice. However, ChatGPT 4o Turbo performs poorly, with scores of 0.221 and 0.210, indicating issues with factual accuracy and precision. The RAG model, which incorporates precise statutory text, shows superior performance, with JusticeNetBD and Gemini 2.5 Flash maintaining high scores, highlighting the importance of grounding models in legal statutes for reliable responses.","The chart shows that ROUGE-L F1 has consistently lower performance compared to BERTScore F1 across all models, with scores ranging from 0.210 to 0.463. This suggests that while BERTScore F1 performs better overall, ROUGE-L F1 is less effective for this task."
