item_id,with_context,without_context
2507.08771v1-with-image-refs,"The chart shows that both BlockFFN variants steadily amplify their activation strengths from the first to the last layer, far surpassing the modest growth seen in the competing model. Removing RMSNorm in BlockFFN triggers the most dramatic rise, with activation magnitudes nearly tripling by the final layer, while keeping RMSNorm yields a smoother increase that still outperforms alternatives. In contrast, ReMoE’s L1-based regularization keeps activations relatively low, suggesting a more uniform but weaker participation of its sub-networks. This demonstrates that tailoring the loss around the classification token inherently drives stronger, more concentrated learning in deeper layers, which can speed up convergence and improve inference efficiency. Applying a block-level normalization like RMSNorm offers a practical balance, tempering extreme activation growth for greater stability without losing the focused benefits of the classification-driven objective.","The chart tracks how the average signal strength grows across successive processing layers in three model variants. Without a normalization step (blue line), activations swell rapidly, nearly tripling by the final layer and risking unstable training. Adding RMS normalization (red line) tames this growth substantially but still allows a steady climb. In contrast, the sparse mixture‐of‐experts approach guided by an L1 objective (green line) holds activations consistently low, demonstrating a tightly controlled flow of information. These differences highlight that both normalization and targeted sparsity are powerful levers for keeping neural activations in a healthy range and promoting more stable learning."
2507.08776v1-with-image-refs,"The chart shows that combining latent K-means clustering with neural condensation delivers the highest rendering fidelity per data token, reaching nearly 30 dB PSNR, 0.10 LPIPS, and 0.92 SSIM at the 4096-token setting. Removing K-means leads to the largest drop in quality (about 0.5–1 dB PSNR) and higher perceptual error, while dropping the condenser also hurts fidelity, though to a smaller extent. Beyond roughly 1024 tokens, PSNR gains taper off, indicating that most scene detail can be captured with a moderate token budget. Rendering speed falls smoothly from around 110 FPS at 128 tokens to about 55 FPS at 4096 tokens, and theoretical cost rises linearly from ~12 GFLOPs to ~72 GFLOPs, illustrating a clear trade-off between quality and performance. These results confirm that each component is essential for building a compact, high-quality scene representation that can be tuned on-the-fly without retraining.","The chart shows that the full method (blue line) consistently delivers the highest reconstruction quality—measured by PSNR and SSIM—and the lowest perceptual error (LPIPS) across every storage/render budget, with the largest improvements at lower token counts. Quality smoothly increases as more CLiFTs are allocated, illustrating a clear trade-off between memory footprint and image fidelity. Removing the condenser or the K-means step causes noticeable drops (up to 2 dB PSNR and higher LPIPS) at the same budgets, confirming their importance. Meanwhile, rendering speed gracefully tapers from over 100 FPS to about 60 FPS as model size grows, yet remains roughly twice as fast as the LVSM-ED baseline at maximum capacity. The computational workload (GFLOPs) rises predictably with budget but stays below or in line with the competing method, highlighting an efficient balance of quality, speed, and resource use."
2507.08784v1-with-image-refs,"The chart shows that peak GPU memory usage rises from roughly 12 GB for a 60 million-parameter model to about 50 GB for a 1 billion-parameter model as model size increases. Across all sizes, GreedyLore—with or without the error-feedback mechanism—matches the baseline AdamW memory footprint almost exactly, with only a 1–2 GB uptick when error feedback is enabled. This small increase confirms that the extra storage for error feedback and the projection matrix remains negligible compared to activation tensors. In practice, you can adopt GreedyLore for large-scale pre-training without worrying about any significant GPU memory penalty.","The chart compares peak GPU memory use of three training approaches—AdamW, GreedyLore without an extra feature (EF), and GreedyLore with EF—across four LLaMA model sizes. For the smallest 60 M–parameter model, GreedyLore without EF uses slightly less memory than AdamW, while adding EF nudges it just above the baseline. As models grow to 350 M and 1 B parameters, both GreedyLore variants begin to exceed AdamW’s footprint, with the EF-enabled version showing the largest overhead. This pattern highlights that the extra feature introduces a moderate but compounding memory cost at scale. In practice, teams working with very large models should plan for this additional GPU memory requirement or consider sticking with the lighter-weight version when resources are limited."
"""Did_I_buy_that_just-with-image-refs","The chart reveals that participants’ self-estimates of their organic product share spanned a wide range, from underestimations of about 35 percentage points to overestimations exceeding 60 points, with most errors clustering within ±20 points. A noticeable skew toward positive values shows that shoppers more often believe they buy a higher share of organic items than they actually do. Nearly half of the sample misjudged their organic share by more than 10 percentage points, highlighting that simple recall questions may substantially misrepresent true behavior. These findings suggest that researchers and retailers should pair self-reported organic purchase data with objective basket or transaction records to obtain a more accurate picture of consumer behavior.","The chart reveals that self-reported shares of organic products tend to be overstated more often than understated, as shown by the heavier right-hand tail beyond zero. Most deviations cluster within a 10-percentage-point window, indicating modest misreporting is common, but a small group exaggerates their organic purchases by 40+ points. This bias suggests that people believe they consume more organic food than they actually do, which could inflate survey estimates. Researchers and policymakers should adjust for this upward reporting bias or use complementary measures to get more accurate consumption data."
1_UNDERSTANDING_AND_-with-image-refs,"The chart compares weekday electricity use by hour for two family types before and after shifting consumption under a Time of Use tariff. The out-of-home family can move routine tasks into early-morning off-peak hours and noticeably reduce their peak-hour draw, yielding modest savings. By contrast, the stay-at-home family still records high mid-day and early-evening demand even after shifting, because many essential activities simply can’t be moved without disrupting care or work-from-home routines. This limited flexibility explains why they face a large bill penalty under the new tariff unless they make major compromises to their daily lives. The data highlights that a uniform Time of Use scheme may unfairly burden those with little capacity to shift energy‐intensive tasks, pointing to a need for tailored support or alternative pricing for such households.","The chart compares two typical weekday energy profiles—one household empty during the day and one with someone at home—under the current late-afternoon peak window and a proposed shift to 4–10 pm. Moving the peak period later means that out-of-home families would see a large chunk of their dinner-time cooking and laundry load hit the high-rate hours, so their bills could climb unless they run major appliances before 4 pm. Stay-at-home households already concentrate much of their usage in the morning and early afternoon, so they avoid most of the extra peak exposure but still incur heavy evening demand in the new window. In both cases, scheduling dishwashers, washing machines or cooking tasks before 4 pm or after 10 pm offers a clear way to reduce peak-period charges."
Algorithmic_Fairness-with-image-refs,"The chart illustrates how rigid legal and operational demands around shift scheduling filter through four pillars of workplace justice—distributive, procedural, informational and interpersonal—and ultimately curb healthcare workers’ sense of fairness. Under distributive fairness, mandatory rest requirements and limited rotation options upset the balance between individual need and equal treatment, while staffing shortages shrink opportunities for meaningful participation and decision control. Procedural rules like adjustability, timeliness and consistency break down when flexibility is sacrificed to comply with regulations, and limited disclosure or one-way communications further damage informational fairness. Respectful interpersonal interactions also suffer when workers feel constrained by unyielding legal mandates. To restore fairness perceptions, organizations should focus on enhancing schedule flexibility, clear two-way communications and granting more decision-making autonomy within the bounds of necessary legal safeguards.","The chart presents a clear model for building fairness into business and legal operations, anchored by overarching legal and operational requirements. It distinguishes four interlinked fairness types—fair resource allocation, transparent information sharing, consistent and adaptable procedures, and respectful interpersonal treatment—that together shape people’s sense of justice. Distributive fairness balances individual needs with equal treatment, informational fairness relies on privacy protections and truthful disclosures, procedural fairness is ensured by rules like timeliness, consistency, adjustability, and accuracy, and interpersonal fairness is grounded in respect. Channels for participation and voice, including representativeness and decision control, reinforce procedural trust and legitimacy. Overall, this framework provides actionable steps to design systems that not only meet legal standards but also resonate with users’ expectations for fairness and respect."
Analyzing_Income_Ine-with-image-refs,"The visualization tracks the widening gap between the richest and poorest households across Italy’s macro-regions from 2004 to 2020. Northern areas have contained this gap with only slight 4–6% increases, while the Centre saw a more pronounced rise of about 8%. In stark contrast, the Mezzogiorno—particularly the South—jumped by over 12% and the Islands climbed around 6%, pushing their inequality well above the national trend. Italy overall experienced a moderate 5% uptick, nested between these regional extremes. These diverging paths underscore deep structural challenges in the South and suggest that targeted investments in infrastructure, education, and job creation will be critical to narrowing this persistent divide.","The visualization tracks a key indicator across Italy’s macroregions from 2010 to 2020, revealing that the North and Northwest consistently register the lowest levels (around 4–5 units) while the Mezzogiorno, Sud and especially the Islands remain at the highest end (peaking near 8 units) with more pronounced mid-decade spikes. The Centro region and the national average sit in between these extremes, rising steadily but without dramatic swings. All areas show a modest upward trend over the decade, suggesting a general national increase in this measure. Persistent gaps between North and South point to the need for focused strategies in the Mezzogiorno and Islands to bring their performance closer to Northern benchmarks."
Artificial_Intellige-with-image-refs,"The chart shows how integrating customer CRM records with AI-powered intent signals can automatically surface the most promising target accounts. Once these accounts are identified, the system dynamically serves tailored ads and tracks engagement to inform the sales team’s outreach. Captured performance metrics are then funneled back into the CRM to sharpen future targeting and messaging. This continuous feedback cycle not only accelerates campaign optimization but also aligns marketing and sales around data-driven insights. Companies that adopt this loop can minimize wasted spend, boost conversion rates, and quickly adapt to shifting account behaviors.","The chart illustrates a continuous feedback loop that starts by combining CRM records with AI-driven intent signals to pinpoint the highest-value accounts. Those prioritized targets are fed into ad platforms, where engagement data is captured and passed along to the sales team for personalized outreach. As sales interactions unfold, performance metrics are analyzed and recycled back into the CRM, sharpening both account scoring and ad targeting over time. This cycle ensures marketing and sales stay tightly aligned, focusing resources where they’re most likely to convert. By constantly learning from each stage, the process drives steadily improving engagement rates and maximizes overall ROI."
Automated_Video_Anal-with-image-refs,"The diagram illustrates a rigorous two‐stage screening process that winnowed an initial pool of 255 studies down to just 25 publications meeting the criteria for automated video analysis in top marketing journals. In the first stage, 211 papers were excluded for reasons such as being conceptual, non‐marketing, or lacking automated video analysis in relevant contexts. The second stage removed another 19 studies—primarily because they relied on manual coding or did not report sufficient methodological details—resulting in a final set of 25 empirical papers. This steep drop‐off highlights that fewer than 10% of identified studies actually employ automated video analytics, signaling a clear gap in the marketing literature. To build on these findings, future research should prioritize the development and transparent reporting of automated video‐analysis methods to strengthen empirical insights in marketing.","The chart shows how an initial pool of 255 articles from Web of Science was narrowed down to just 25 studies, an exclusion rate of over 90%. Most papers were culled during title and abstract screening because they didn’t examine video content for marketing purposes. Further full-text review removed studies relying on manual coding or lacking clear methodological details. This steep drop-off reveals a significant gap in rigorously designed, data-driven video marketing research. Enhancing methodological clarity and broadening the focus could help build a stronger foundation in this emerging field."
Confessions_of_a_Gre-with-image-refs,"The chart illustrates that people’s spiritual convictions influence their willingness to buy green products both directly and indirectly through two types of virtue signaling. Those with a strong personal faith tendency tend to showcase their environmental values either for internal moral satisfaction or to gain social approval, while those motivated by external religious aspects rely more on outward signals. Both self-oriented and other-oriented signaling significantly boost green purchase intentions, alongside a direct positive effect of religiosity itself. This suggests that sustainability initiatives will have greater impact if they tap into individuals’ private convictions and also provide opportunities for public displays of eco-friendly commitment.","The chart reveals that personal religious conviction and the social or practical aspects of faith shape environmental values in different ways, which then influence green buying choices. Deeply held beliefs boost both self-focused and altruistic motivations for protecting nature, while socially driven religious practice mainly fuels self-focused reasons for caring about the environment. Both types of environmental concern—whether aimed at personal well-being or the welfare of others—lead to stronger intentions to purchase eco-friendly products. This suggests that messages appealing to moral duty or communal benefit can be especially effective at encouraging sustainable consumer behavior."
Data-Driven_Innovati-with-image-refs,"The chart aligns the EU’s four AI risk categories with Maslow’s hierarchy of human needs, showing that any AI infringing on basic physiological needs (like food, shelter or health) is outright prohibited. Systems that underpin safety and security—such as public services, education or justice—are marked high risk and must follow strict risk-management, data-governance and human-oversight requirements. AI tools focused on social interaction and esteem—think chatbots or content generators—fall into a limited-risk zone, so developers need clear documentation, copyright compliance and user transparency. Finally, creative and self-development applications (video games, photo editors, recommendation engines) sit in the minimal-risk category, allowing innovators to move forward with only light regulatory requirements.","The chart aligns Maslow’s hierarchy of human needs with the EU AI Act’s four-tier risk classification, showing that AI applications touching our most essential survival functions are banned outright. Systems that impinge on safety and legal rights—such as healthcare, infrastructure or immigration tools—are labeled high risk and subject to strict oversight. General-purpose models enabling chatbots, deepfakes or content creation fall into a limited-risk category with moderate transparency duties. Everyday utilities like video games, product recommendations or photo editing face minimal regulation since they operate at lower-impact levels. This mapping underscores how regulatory scrutiny intensifies as AI applications target more fundamental needs, guiding organizations to prioritize compliance efforts accordingly. It also reveals a gap around creative and self-actualizing AI functions, suggesting that emerging technologies in this space may require new regulatory attention."
Decentralized_Distru-with-image-refs,"The chart reveals that consumers feel positively about credit cards across security, payment options, and fees, but express negative views toward cryptocurrencies on all three dimensions. Sentiment for cryptocurrencies dips most sharply around purchase costs and fees, signaling that pricing transparency and fee structure is a central concern. Negative perceptions also extend to the security and usability of cryptocurrency payments, suggesting users find these systems less intuitive or trustworthy. This pattern shows that perceived risk and complexity are significant barriers to broader cryptocurrency adoption. Companies looking to boost consumer confidence will need to simplify crypto payment processes, bolster security assurances, and clarify fee structures.","The chart compares average sentiment toward credit cards and cryptocurrencies across security & usability, payment options, and purchase & fees. Credit cards receive uniformly positive feedback, peaking on security & usability and remaining moderately strong on payment options and fees. In contrast, cryptocurrencies earn negative scores in every category, with the biggest downside rooted in purchase fees and complexity. The most pronounced divergence occurs around purchase & fees, highlighting cost concerns and purchase complexity as central hurdles for crypto adoption. To close this gap, cryptocurrency services should focus on clearer pricing models and a smoother checkout experience to earn more positive sentiment."
Deucalion__A_dataset-with-image-refs,"The chart depicts an end-to-end workflow for building a flood-image dataset by aggregating raw visuals from Kaggle repositories, other curated sources, and social media (including frames extracted from videos). In a centralized labeling environment, each image is tagged with one of fifteen flood-relevant classes—ranging from flooded areas, vehicles, destroyed trees and vegetation to debris, people, pets, rivers, rain and other meteorological features—before undergoing systematic quality checks. Once verified, the annotated images pass through digitization and feature-extraction steps that convert them into structured, model-ready data. By combining diverse inputs with rigorous annotation and validation, this pipeline ensures a rich and reliable foundation for training flood-detection and damage-assessment models.","The chart outlines a streamlined workflow for assembling and preparing image data from multiple sources—public datasets, social media, and other repositories—and even extracting individual frames from video content. These raw images are funneled into a centralized labeling environment where they’re tagged into predefined categories and subjected to quality checks to ensure annotation accuracy. Once labeled, the images undergo digitization and feature extraction, transforming visual information into structured numeric data. This end-to-end process delivers a high-quality, consistent dataset that’s ready for use in machine learning, analytics, or any application requiring reliable image-derived features."
Forbidden_Fruit_and_-with-image-refs,"The chart shows that migrants’ sense of prohibition at home builds a strong symbolic attraction to a forbidden behavior, making first-time use almost inevitable once they arrive in a permissive setting. This initial surge in use then interacts with post-migration stress and coping efforts, driving consumption into a compulsive escalation. By framing the journey in two stages—initial forbidden‐fruit initiation and later rebound escalation—the model highlights how lifting constraints without support can inadvertently trigger deepening addiction. Effective interventions should combine early awareness about the risks of sudden freedom with accessible stress-management and coping resources. Addressing both the lure of the forbidden and the need for healthy coping can help prevent the slide from experimentation to compulsive use.","The chart illustrates how harsh bans can make an item more attractive, turning symbolic appeal into an underlying craving that leads to first use. When those bans lift, sudden freedom triggers an opportunity shock that, combined with stress and coping challenges, strengthens the habit and drives it toward compulsive overuse. This two-phase model shows that prohibition alone may backfire if people lack practical tools for managing stress. Introducing moderate restrictions alongside coping support and gradual exposure can prevent initial curiosity from spiraling into harmful addiction."
Moderating_Tamil_Con-with-image-refs,"The chart shows that about two-thirds of participants believe their posts were removed “to silence my opinion.” A smaller group attributed takedowns to having “violated community standards” (12) or being removed “for political reasons” (11). Very few cited platform bias, language barriers, or other causes, suggesting most see moderation as active suppression rather than a mistake or rule enforcement. This widespread view highlights a deep distrust in platform policies among Tamil creators. Platforms could address this by offering clear, localized explanations and transparent appeal processes whenever content is restricted.","The chart shows that more than half of respondents believe their content was removed to silence their opinion, while only about 15% acknowledge they may have violated rules and roughly 13% see political motives. Very few point to bias against them or language barriers as the cause. This gap highlights a trust issue in how moderation decisions are perceived. By providing clearer, case-specific explanations for removals and simplifying policy language, the platform can reduce confusion and strengthen user confidence in its processes."
Quiet_Quitting_-_Per-with-image-refs,"The visualization maps an individual’s productivity over time against defined upper and lower performance thresholds, illustrating a “safety zone” where many employees settle into doing the minimum required. Fluctuations within that zone represent “middle workers” and “accommodators” who remain engaged enough to meet expectations but avoid extra effort, while fewer consistently push above the upper limit as “high performers” or “careerists,” and some dip below the lower limit as “wage criminals.” This pattern shows that a large share of the workforce quietly quits by staying within a comfort zone rather than striving for higher outcomes, risking stagnation in engagement and productivity. Organizations can use these insights to tailor incentives, feedback and recognition strategies that nudge more employees out of the safety zone toward higher engagement. Tracking real performance against clear thresholds helps leaders identify who needs support, challenge, or reward to foster a more dynamic and committed workforce.","The chart shows that employee productivity fluctuates over time but remains trapped within a “security zone” bounded by upper and lower limits. Within this zone, individuals fall into categories from low-engagement “wage criminals” and “accommodators” up to “middle workers,” while those breaching the top limit are labeled “careerists” and “high performers.” The dashed line represents average performance, yet the solid productivity line repeatedly spikes above and dips below it, illustrating how people self-regulate to stay in their comfort band. This pattern indicates that, absent deliberate challenges or incentives, most employees will plateau in moderate engagement levels. By raising stretch goals, offering targeted feedback, or reshaping rewards, managers can nudge more people toward sustained high performance."
The_Limited_Role_of_-with-image-refs,"The chart shows that when participants simply played the prediction task (baseline), their average score hovered right around the six-correct mark you’d expect by chance, with only a slight uptick suggesting minimal dishonesty. Once the game was set up so they could cheat after paying, however, the entire distribution of reported scores shifted dramatically to the right, with a large spike at the maximum of twelve correct predictions and mean scores climbing above ten. This pattern grew stronger in later rounds—when stakes were higher, up to 85.8% of participants likely reported inflated scores. The data make it clear that introducing a cost to play while still allowing post-payment cheating greatly amplifies dishonest behavior. To curb this, designers should reconsider how financial incentives and reporting transparency interact in decision-making tasks.","The chart shows that in the initial, unpaid blocks participants’ self‐reported predictions cluster modestly above chance (around 6–8 correct out of 12) with very similar profiles under both high‐loss and low‐loss framings. The moment any payment scheme kicks in—whether via the BDM mechanism or an auction format—nearly everyone reports the maximum of 12 correct, collapsing all meaningful variation. That surge to perfect scores under incentive implies strong inflation of self‐reports rather than genuine performance gains. Moreover, the virtually identical spike at 12 across all paid blocks suggests that neither payment design deters overstatement. Taken together, these patterns warn that relying on participants’ payment‐linked declarations can produce highly misleading measures of actual ability."
VISTA__Verifiable_In-with-image-refs,"The diagram lays out a modular workflow that ties every agent action to a verifiable identity before execution, ensuring that requests only proceed when both user and AI are cryptographically authenticated. By running sensitive logic inside a secure enclave and immediately checking outcomes against an ethical policy layer, the process embeds real-time compliance checks that can halt or escalate ambiguous decisions. Automated logging to a public ledger creates an immutable audit trail, feeding back into legacy systems and reinforcing accountability without interrupting operational flow. The built-in escalation checkpoint ensures any policy deviations trigger human review, striking a balance between autonomy and oversight that any organization can adopt to manage AI risk. This end-to-end lifecycle underscores how layered governance—from identity to execution, policy to audit, and interoperability—translates into transparent, traceable, and ethically aligned decision-making.","The chart maps a streamlined, multi-layered pipeline that vets each user request through identity verification, secure AI execution, ethical policy checks, public auditing, and legacy system updates before returning a response. Only authenticated users trigger agents running inside a secure enclave, and every action must pass a policy compliance check or be escalated for human review. Approved actions are immutably recorded on a public ledger to ensure transparency and auditability, while failed verifications or unapproved requests automatically halt the process. This design minimizes security and compliance risks by embedding stops and human interventions at every critical checkpoint."
